I, [2020-01-17T10:00:51.797098 #2856]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.3.4)
E, [2020-01-17T10:00:51.798387 #2856] ERROR -- Kitchen: ------Exception-------
E, [2020-01-17T10:00:51.798506 #2856] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-01-17T10:00:51.798557 #2856] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/JobsWatch/kitchen.yml does not exist.
E, [2020-01-17T10:00:51.798602 #2856] ERROR -- Kitchen: ----------------------
E, [2020-01-17T10:00:51.798644 #2856] ERROR -- Kitchen: ------Backtrace-------
E, [2020-01-17T10:00:51.798685 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-01-17T10:00:51.798726 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:154:in `data'
E, [2020-01-17T10:00:51.798767 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:132:in `suites'
E, [2020-01-17T10:00:51.798808 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-01-17T10:00:51.798849 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-01-17T10:00:51.798890 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:117:in `instances'
E, [2020-01-17T10:00:51.798931 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-01-17T10:00:51.798972 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-01-17T10:00:51.799013 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-01-17T10:00:51.799113 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-01-17T10:00:51.799164 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/action.rb:34:in `call'
E, [2020-01-17T10:00:51.799207 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:52:in `perform'
E, [2020-01-17T10:00:51.799248 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-01-17T10:00:51.799289 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-01-17T10:00:51.799330 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-01-17T10:00:51.799371 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-01-17T10:00:51.799412 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-01-17T10:00:51.799455 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `block in <top (required)>'
E, [2020-01-17T10:00:51.799497 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-01-17T10:00:51.799538 #2856] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `<top (required)>'
E, [2020-01-17T10:00:51.799578 #2856] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:369:in `load'
E, [2020-01-17T10:00:51.799619 #2856] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:369:in `<main>'
E, [2020-01-17T10:00:51.799659 #2856] ERROR -- Kitchen: ----End Backtrace-----
